Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J701,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,216.3318,-70.6616,180,top
R201,220,R_0402_1005Metric,208.3308,-73.4568,90,top
R202,5.1k,R_0402_1005Metric,177.4698,-76.708,-90,top
R203,5.1k,R_0402_1005Metric,174.4726,-76.7334,90,top
R204,165,R_0402_1005Metric,205.0796,-73.4568,90,top
R302,12k,R_0402_1005Metric,187.3504,-78.867,180,top
R404,10k,R_0402_1005Metric,193.9,-119.975,90,top
R405,10k,R_0402_1005Metric,193.9,-107.275,90,top
R406,10k,R_0402_1005Metric,213.91,-107.265,90,top
R408,10k,R_0402_1005Metric,219.1,-108.025,-90,top
R409,8.2k,R_0402_1005Metric,210.9582,-127.1524,180,top
R410,68k,R_0402_1005Metric,210.9582,-125.8824,0,top
R706,5.1k,R_0402_1005Metric,217.6018,-77.2414,-90,top
R707,5.1k,R_0402_1005Metric,214.5792,-76.962,90,top
REF**,BrushlessFanECELabs,BrushlessFanECELabs,256.700894,-132.5065,0,top
RN404,10k,R_Array_Convex_2x0402,195.5,-119.97,-90,top
RN405,10k,R_Array_Convex_2x0402,195.5,-107.27,-90,top
RN406,10k,R_Array_Convex_2x0402,215.51,-107.26,-90,top
RN408,10k,R_Array_Convex_2x0402,217.5,-108.03,90,top
RN601,10k,R_Array_Convex_2x0402,245.4402,-102.6414,0,top
U201,AZ1117IH-3.3TRG1,SOT-223-3_TabPin2,214.757,-131.826,180,top
U301,FT4232HL,LQFP-64_10x10mm_P0.5mm,195.4276,-76.0984,0,top
U404,MCP23017T-E/SS,SSOP-28_5.3x10.2mm_P0.65mm,196.5,-114,-90,top
U405,MCP23017T-E/SS,SSOP-28_5.3x10.2mm_P0.65mm,196.5,-101.3,-90,top
U406,MCP23017T-E/SS,SSOP-28_5.3x10.2mm_P0.65mm,216.51,-101.29,-90,top
U408,MCP23017T-E/SS,SSOP-28_5.3x10.2mm_P0.65mm,216.5,-114,90,top
U409,BL1551B,SOT-363_SC-70-6,213.487,-94.3102,0,top
U411,NE555DR,SOIC-8_3.9x4.9mm_P1.27mm,215.708,-125.2474,180,top
Y701,12MHz,Crystal_SMD_HC49-SD,208.3562,-83.8454,-90,top
