Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U407,MCP23017_SS,SSOP-28_5.3x10.2mm_P0.65mm,195.58,-73.66,90,top
U408,MCP23017_SS,SSOP-28_5.3x10.2mm_P0.65mm,218.44,-73.66,90,top
U409,MCP23017_SS,SSOP-28_5.3x10.2mm_P0.65mm,195.58,-142.24,90,top
U410,93LC56BT-I/OT,SOT-23-6,131.5974,-108.712,180,top
U411,NE555DR,SOIC-8_3.9x4.9mm_P1.27mm,179.705,-147.193,0,top
U415,FT4232HL-REEL,LQFP-64_10x10mm_P0.5mm,130.937,-118.6942,0,top
U501,ICE40-HX8K_Breakout_Board,ICE40-HX8K Breakout Board,206.477,-106.337,0,top
U601,RASPBERRY_PI_4B_4GB,MODULE_RASPBERRY_PI_4B_4GB,134.2644,-107.4928,0,top
Y301,12MHz,Crystal_SMD_HC49-SD,132.0114,-130.5932,180,top
Y401,12MHz,Crystal_SMD_HC49-SD,118.6942,-107.696,0,top
